seed,state_id,margin,weight
91,5,-0.2069018779459122,5.965645070701893
91,12,-0.002214121551494863,1.0531389172358767
91,17,-0.003116981616135245,1.0748075587872459
91,21,-0.005373628818424903,1.1289670916421977
91,39,-0.0022464618299825323,1.0539150839195808
91,40,-0.0029558312067451686,1.070939948961884
91,42,-0.0006884352491062784,1.0165224459785507
91,53,-0.012591902255675524,1.3022056541362126
91,59,-0.006168477770259917,1.148043466486238
91,60,-0.00198374547024463,1.0476098912858711
91,61,-0.007845896158443555,1.1883015078026453
92,1,-0.009118571407637777,1.2188457137833066
92,2,-0.0049563806097492336,1.1189531346339816
92,4,-0.006720496918528662,1.161291926044688
92,6,-0.0010032372354140673,1.0240776936499376
92,11,-1.065108705730899,16.0
92,16,-0.003990660209640173,1.0957758450313642
92,19,-0.013403094998072629,1.321674279953743
92,22,-0.00636890608175536,1.1528537459621286
92,24,-0.0017799640270824701,1.0427191366499793
92,26,-0.004702031548635827,1.1128487571672598
92,29,-0.0014484771845574007,1.0347634524293776
92,30,-0.006947809688181428,1.1667474325163543
92,38,-0.028563484373991477,1.6855236249757954
92,39,-0.0014079519123737783,1.0337908458969707
92,43,-0.09928600216958827,3.3828640520701185
92,45,-0.024545333755337184,1.5890880101280924
92,54,-0.02901250800692995,1.6963001921663188
92,57,-0.06178555939391772,2.4828534254540253
92,60,-0.0033757543206004437,1.0810181036944106
92,61,-0.005033536231045244,1.1208048695450858
92,62,-0.009310357001481695,1.2234485680355607
93,0,-0.001914476341338317,1.0459474321921196
93,10,-0.13790505599799907,4.309721343951978
93,19,-0.004166643764555472,1.0999994503493313
93,20,-0.0011338993826482402,1.0272135851835578
93,24,-0.0012908734787389076,1.0309809634897338
93,25,-0.003997280947835413,1.09593474274805
93,26,-0.0038519772452965118,1.0924474538871163
93,28,-0.003000428894479157,1.0720102934674998
93,30,-0.0018933272704746706,1.045439854491392
93,40,-0.000890036306748776,1.0213608713619706
93,42,-0.0028714394753167893,1.068914547407603
93,44,-0.004805510592166301,1.1153322542119912
93,47,-0.0028525968471548313,1.068462324331716
93,48,-0.02479054319215057,1.5949730366116137
93,53,-0.009080362300286415,1.217928695206874
93,60,-0.006191044284318575,1.1485850628236458
93,62,-0.0012347004742588874,1.0296328113822133
93,63,-0.006801257702125807,1.1632301848510194
94,3,-0.009154160118724969,1.2196998428493993
94,7,-0.18932744331185614,5.543858639484547
94,11,-0.0040775015160876005,1.0978600363861024
94,13,-0.0246321368887929,1.5911712853310296
94,19,-0.005146295712449678,1.1235110970987923
94,20,-0.011614597756118172,1.2787503461468361
94,24,-0.002831466256766002,1.067955190162384
94,36,-0.03228605909140814,1.7748654181937953
94,40,-0.008521286428649438,1.2045108742875865
94,41,-0.010393157875482562,1.2494357890115815
94,53,-0.0015395964031214016,1.0369503136749136
94,56,-0.055989542695233596,2.3437490246856063
95,4,-0.006291777527301479,1.1510026606552355
95,11,-0.48042671528938774,12.530241166945306
95,16,-0.034408406439622896,1.8258017545509495
95,17,-0.0008029294543801524,1.0192703069051237
95,30,-0.011405462087960672,1.2737310901110561
95,31,-0.003056581948918391,1.0733579667740414
95,40,-0.44853153024884795,11.764756725972351
95,43,-0.1900771248528086,5.561850996467406
95,48,-0.002303246073913884,1.0552779057739332
